"","POINT_X","POINT_Y","_RUN1","_RUN2","_RUN3","_Full"
"97",10.47164,59.08162,TRUE,TRUE,FALSE,TRUE
"98",18.54309,80.01209,TRUE,FALSE,TRUE,TRUE
"99",6.78684,58.06398,TRUE,TRUE,TRUE,TRUE
"100",9.16873,62.03661,TRUE,TRUE,TRUE,TRUE
"101",9.41667,51.75003,TRUE,FALSE,FALSE,TRUE
"102",34.4,61.7,TRUE,TRUE,TRUE,TRUE
"103",7.08333,51.05003,TRUE,FALSE,TRUE,TRUE
"104",16.2,48.2,TRUE,FALSE,TRUE,TRUE
"105",7.08333,51.25003,TRUE,FALSE,TRUE,TRUE
"106",11.75,48.45002,TRUE,TRUE,FALSE,TRUE
"107",8.41667,49.05002,TRUE,TRUE,TRUE,TRUE
"108",11.25,51.05003,TRUE,TRUE,TRUE,TRUE
"109",10.04654,59.73328,TRUE,TRUE,TRUE,TRUE
"110",12.51406,66.12478,TRUE,TRUE,TRUE,TRUE
"111",9.98942,59.30166,TRUE,TRUE,TRUE,TRUE
"112",24.71174,71.11158,TRUE,TRUE,TRUE,TRUE
"113",15.97277,69.27911,TRUE,FALSE,TRUE,TRUE
"114",20.67046,69.92157,TRUE,TRUE,TRUE,TRUE
"115",18.87995,69.01903,TRUE,TRUE,TRUE,TRUE
"116",30.73387,70.42697,TRUE,TRUE,TRUE,TRUE
"117",30.82954,69.77842,TRUE,TRUE,FALSE,TRUE
"118",6.7849,58.06015,TRUE,TRUE,TRUE,TRUE
"119",10.46322,59.08408,FALSE,TRUE,TRUE,TRUE
"120",11.44814,63.79593,TRUE,TRUE,TRUE,TRUE
"121",9.51162,58.86208,TRUE,TRUE,TRUE,TRUE
"122",5.05454,61.95422,TRUE,TRUE,TRUE,TRUE
"123",14.1878,55.3812,TRUE,TRUE,TRUE,TRUE
"124",8.75,49.45002,FALSE,TRUE,FALSE,TRUE
"125",17.4,54.7,TRUE,TRUE,TRUE,TRUE
"126",11.41667,48.55003,TRUE,TRUE,FALSE,TRUE
"127",8.75,49.95003,TRUE,TRUE,FALSE,TRUE
"128",10.41667,48.35002,TRUE,TRUE,TRUE,TRUE
"129",8.58333,49.35002,TRUE,TRUE,TRUE,TRUE
"130",8.41667,49.15003,FALSE,TRUE,TRUE,TRUE
"131",12.75,51.55003,TRUE,TRUE,TRUE,TRUE
"132",6.37239,52.10162,FALSE,FALSE,TRUE,TRUE
"133",5.64187,51.97064,FALSE,TRUE,TRUE,TRUE
"134",5.35071,52.10573,TRUE,TRUE,TRUE,TRUE
"135",6.23241,52.41729,TRUE,TRUE,FALSE,TRUE
"136",5.78739,51.97024,TRUE,TRUE,TRUE,TRUE
"137",5.92697,51.4753,TRUE,FALSE,TRUE,TRUE
"138",6.17414,53.27145,TRUE,TRUE,TRUE,TRUE
"139",6.98174,52.81406,TRUE,TRUE,FALSE,TRUE
"140",4.75606,52.86799,TRUE,TRUE,TRUE,TRUE
"141",5.84864,50.84642,FALSE,TRUE,TRUE,TRUE
"142",6.45071,52.32565,TRUE,TRUE,TRUE,TRUE
"143",5.78941,52.19493,TRUE,TRUE,TRUE,TRUE
"144",6.09846,53.22699,FALSE,TRUE,TRUE,TRUE
"145",14.26657,53.05338,TRUE,FALSE,TRUE,TRUE
"146",2,42.3,TRUE,FALSE,FALSE,TRUE
"147",0.1,42.8,TRUE,TRUE,TRUE,TRUE
"148",34,67.5,TRUE,TRUE,TRUE,TRUE
"149",40.7,64.1,TRUE,FALSE,FALSE,TRUE
"150",14.91667,50.95003,FALSE,TRUE,TRUE,TRUE
"151",22,48.5,TRUE,FALSE,FALSE,TRUE
"152",11.91667,48.95002,FALSE,TRUE,FALSE,TRUE
"153",8.91667,49.15003,TRUE,TRUE,TRUE,TRUE
"154",11.23882,60.39871,TRUE,TRUE,TRUE,TRUE
"155",10.73972,59.89009,TRUE,TRUE,TRUE,TRUE
"156",10.73389,59.88856,TRUE,FALSE,TRUE,TRUE
"157",19.67646,68.95008,FALSE,TRUE,TRUE,TRUE
"158",18.82932,69.60768,TRUE,FALSE,TRUE,TRUE
"159",24.24329,70.88377,FALSE,FALSE,TRUE,TRUE
"160",28.44656,70.51193,TRUE,TRUE,FALSE,TRUE
"161",25.31813,70.18536,TRUE,FALSE,FALSE,TRUE
"162",20.27471,69.37254,TRUE,TRUE,TRUE,TRUE
"163",9.96905,58.98272,TRUE,TRUE,FALSE,TRUE
"164",5.51496,58.73586,FALSE,TRUE,FALSE,TRUE
"165",4.90004,61.84374,TRUE,FALSE,TRUE,TRUE
"166",6.78308,58.06465,TRUE,TRUE,TRUE,TRUE
"167",5.93698,59.7305,TRUE,TRUE,TRUE,TRUE
"168",9.60475,58.87936,TRUE,TRUE,TRUE,TRUE
"169",10.46156,59.07554,TRUE,TRUE,TRUE,TRUE
"170",11.00798,59.03213,TRUE,TRUE,TRUE,TRUE
"171",7.44879,58.0203,TRUE,TRUE,FALSE,TRUE
"172",9.01387,61.87348,TRUE,TRUE,TRUE,TRUE
"173",6.68625,58.06921,TRUE,TRUE,TRUE,TRUE
"174",-0.05665,51.45737,TRUE,TRUE,FALSE,TRUE
"175",10.45012,59.09407,TRUE,TRUE,TRUE,TRUE
"176",10.71515,59.87983,TRUE,FALSE,TRUE,TRUE
"177",23.30208,69.0281,TRUE,TRUE,TRUE,TRUE
"178",23.50089,69.81099,FALSE,TRUE,TRUE,TRUE
"179",9.64315,58.89721,TRUE,TRUE,TRUE,TRUE
"180",10.39253,59.06922,TRUE,FALSE,FALSE,TRUE
"181",6.83314,58.10021,TRUE,TRUE,TRUE,TRUE
"182",9.20559,59.56604,FALSE,TRUE,TRUE,TRUE
"183",10.39379,59.07101,TRUE,TRUE,TRUE,TRUE
"184",6.83546,62.8362,TRUE,TRUE,TRUE,TRUE
"185",9.91667,51.45003,TRUE,TRUE,TRUE,TRUE
"186",2.1,47.9,TRUE,TRUE,TRUE,TRUE
"187",10.58333,52.15003,TRUE,FALSE,TRUE,TRUE
"188",8.41667,48.95002,TRUE,TRUE,TRUE,TRUE
"189",6.41666,50.85003,TRUE,TRUE,TRUE,TRUE
"190",6.60851,52.72859,TRUE,TRUE,TRUE,TRUE
"191",5.63786,51.25156,TRUE,TRUE,TRUE,TRUE
"192",5.85593,51.5655,TRUE,TRUE,FALSE,TRUE
"193",4.90456,52.86868,TRUE,FALSE,FALSE,TRUE
"194",5.13202,52.06052,TRUE,TRUE,TRUE,TRUE
"195",5.64871,53.13896,TRUE,FALSE,TRUE,TRUE
"196",5.71139,51.52105,TRUE,TRUE,TRUE,TRUE
"197",6.51832,52.10031,TRUE,TRUE,TRUE,TRUE
"198",6.91074,52.90487,FALSE,TRUE,TRUE,TRUE
"199",6.02559,53.36219,TRUE,TRUE,TRUE,TRUE
"200",5.91963,50.84611,FALSE,TRUE,TRUE,TRUE
"201",5.789,52.14999,TRUE,TRUE,TRUE,TRUE
"202",14.2789,55.4714,TRUE,TRUE,TRUE,TRUE
"203",13.2032,55.7048,FALSE,TRUE,TRUE,TRUE
"204",-98.65,19.033,TRUE,TRUE,TRUE,TRUE
"205",-98.8,19.433,TRUE,TRUE,FALSE,TRUE
"206",-99.567,18.55,TRUE,TRUE,TRUE,TRUE
"207",11.9273,57.5076,TRUE,TRUE,TRUE,TRUE
"208",14.4055,56.1412,TRUE,TRUE,TRUE,TRUE
"209",14.4026,56.1396,TRUE,TRUE,TRUE,TRUE
"210",10.80336,62.14096,TRUE,TRUE,TRUE,TRUE
"211",5.75323,58.84232,TRUE,TRUE,TRUE,TRUE
"212",9.97368,58.98469,TRUE,TRUE,TRUE,TRUE
"213",21.23164,69.53823,TRUE,TRUE,TRUE,TRUE
"214",11.19902,61.69763,TRUE,TRUE,FALSE,TRUE
"215",8.95602,59.2168,FALSE,TRUE,TRUE,TRUE
"216",11.43535,59.1156,TRUE,FALSE,TRUE,TRUE
"217",5.56021,58.8612,TRUE,TRUE,TRUE,TRUE
"218",-99.188,19.317,TRUE,TRUE,TRUE,TRUE
"219",15.4234,59.1864,TRUE,TRUE,TRUE,TRUE
"220",12.5137,56.2622,TRUE,TRUE,TRUE,TRUE
"221",4,47.2,TRUE,TRUE,TRUE,TRUE
"222",9.75,48.05002,TRUE,TRUE,TRUE,TRUE
"223",14.3359,55.5734,TRUE,TRUE,TRUE,TRUE
"224",10.41667,48.15002,TRUE,TRUE,FALSE,TRUE
"225",10.41667,48.05002,TRUE,TRUE,TRUE,TRUE
"226",9.60828,58.88149,TRUE,FALSE,TRUE,TRUE
"227",18.99305,69.62927,FALSE,TRUE,TRUE,TRUE
