"","POINT_X","POINT_Y","_RUN1","_RUN2","_RUN3","_Full"
"96",-2.21728,51.74305,FALSE,TRUE,TRUE,TRUE
"97",-1.45431,54.88843,TRUE,TRUE,TRUE,TRUE
"98",0.27601,52.35074,TRUE,TRUE,FALSE,TRUE
"99",-2.64796,51.47169,TRUE,TRUE,TRUE,TRUE
"100",-5.91054,54.6051,TRUE,TRUE,TRUE,TRUE
"101",10.28071,63.27603,FALSE,TRUE,TRUE,TRUE
"102",30.72719,70.42871,TRUE,TRUE,TRUE,TRUE
"103",9.82028,58.97511,TRUE,TRUE,FALSE,TRUE
"104",10.30137,63.02969,TRUE,TRUE,TRUE,TRUE
"105",28.87058,70.83487,TRUE,TRUE,TRUE,TRUE
"106",-3.04135,55.96365,FALSE,TRUE,FALSE,TRUE
"107",-1.60582,55.33837,FALSE,TRUE,TRUE,TRUE
"108",18.89948,69.67852,TRUE,TRUE,TRUE,TRUE
"109",10.71767,59.87949,FALSE,TRUE,TRUE,TRUE
"110",5.59261,59.02033,FALSE,TRUE,TRUE,TRUE
"111",10.62135,59.42497,FALSE,FALSE,FALSE,TRUE
"112",11.1482,58.8461,TRUE,TRUE,TRUE,TRUE
"113",12.8359,55.418,FALSE,TRUE,FALSE,TRUE
"114",12.519,56.2587,TRUE,TRUE,TRUE,TRUE
"115",5.8,61.1,FALSE,TRUE,TRUE,TRUE
"116",8.25,49.25003,TRUE,TRUE,TRUE,TRUE
"117",24.7,59.4,FALSE,FALSE,FALSE,TRUE
"118",8.08333,49.45003,TRUE,TRUE,TRUE,TRUE
"119",12.6306,56.758,TRUE,TRUE,TRUE,TRUE
"120",9.61263,58.88605,TRUE,TRUE,TRUE,TRUE
"121",21.31027,77.96607,TRUE,TRUE,TRUE,TRUE
"122",9.87863,58.97494,TRUE,TRUE,FALSE,TRUE
"123",16.3792,56.4249,TRUE,TRUE,FALSE,TRUE
"124",19.7313,63.5045,TRUE,TRUE,TRUE,TRUE
